lemma	freq	distance	eligible	proper	concreteness	out_deg	in_deg
aacc	2	NA	1	1		0	0
aagot	3	NA	1	1		0	0
aaron	2	NA	1	0		0	0
aba	4	NA	1	1		0	0
ababa	3	NA	1	1		0	0
abajo	1	NA	1	0		0	0
abandon	10	NA	1	0	2.54	0	0
abandonment	3	NA	1	0	2.54	0	0
abate	2	NA	1	0		0	0
abbey	22	NA	1	1		0	0
abbot	1	NA	1	0		0	0
abbreviate	4	NA	1	0	2.59	0	0
abbreviation	2	NA	1	1	3.07	0	0
abc	4	NA	1	1		0	0
abdomen	4	NA	1	0	4.70	0	0
abdominal	7	NA	1	0	4.28	0	0
abduction	3	1	1	0	3.07	2	0
abdul	2	NA	1	1		0	0
abdullah	24	0	1	1		1	0
abdullahs	1	NA	1	0		0	0
abe	3	NA	1	1		0	0
aberdeenshire	6	NA	1	1		0	0
aberration	2	NA	1	0		0	0
abhandlungen	1	NA	1	0		0	0
abhay	3	NA	1	0		0	0
abide	3	NA	1	0	1.68	0	0
abigail	1	NA	1	0		0	0
ability	151	NA	1	0	1.81	0	4
abiotic	19	NA	1	0		0	0
able	230	0	1	0	2.38	0	0
abnormal	8	NA	1	0	2.14	0	0
abnormality	14	NA	1	0	2.48	0	0
abnormally	1	NA	1	0	1.75	0	0
abo	6	NA	1	1		0	0
abolition	2	NA	1	0	2.43	0	0
aboral	1	NA	1	0		0	0
abort	1	NA	1	0	2.83	0	0
abound	3	NA	1	0	2.27	0	0
about	1319	0	0	0	1.77	0	0
above	150	NA	0	0	3.33	0	0
aboveground	2	NA	1	0	4.03	0	0
abraham	3	NA	1	1		0	0
abrams	3	NA	1	1		0	0
abrasion	1	NA	1	0	4.57	0	0
abroad	17	NA	1	0	2.72	0	0
abrs	5	0	1	0		0	0
abrupt	1	NA	1	0	2.27	0	0
abscess	2	NA	1	0	4.48	0	0
absence	19	NA	1	0	2.31	0	0
absent	16	NA	1	0	2.70	0	0
absolute	7	NA	1	0	1.81	0	0
absolutely	22	0	1	0	1.97	0	0
absorb	92	NA	1	0	3.11	0	0
absorbable	1	NA	1	0	2.47	0	0
absorber	2	NA	1	0	2.96	0	0
absorption	13	NA	1	0	3.22	0	0
absorptive	1	NA	1	0		0	0
abstain	1	NA	1	0	2.38	0	0
abstention	2	NA	1	0	2.16	0	0
abstract	1	NA	1	0	1.45	0	0
abundance	13	NA	1	0	2.21	2	0
abundant	30	NA	1	0	2.83	0	0
abuse	25	NA	1	0	2.71	0	0
abusement	1	NA	1	0		0	0
abusive	1	NA	1	0	2.55	0	0
abuzz	2	NA	1	0		0	0
abyssal	5	NA	1	0		0	0
academic	29	NA	1	0	2.11	0	0
academicintegrity	1	NA	1	0		0	0
academy	16	NA	1	1	4.29	0	0
acanthocystis	1	NA	1	0		0	0
accelerate	17	NA	1	0	3.48	0	0
acceleration	4	NA	1	0	2.97	0	0
accelerator	3	NA	1	0	4.32	0	0
accell	7	NA	1	1		0	0
accells	1	NA	1	0		0	0
accent	3	NA	1	0	3.26	0	0
accept	76	NA	1	0	3.03	0	0
acceptability	2	NA	1	0	1.74	0	0
acceptable	12	NA	1	0	1.93	0	0
acceptance	7	NA	1	0	2.21	0	0
acceptor	11	4	1	0	2.79	1	0
access	92	NA	1	0	2.71	0	3
accessibility	4	NA	1	0	2.30	0	0
accessible	18	NA	1	0	1.80	0	0
accession	1	NA	1	0		0	0
accessory	11	NA	1	0	4.10	0	0
accident	26	0	1	0	3.26	0	0
accidental	6	NA	1	0	2.17	0	0
accidentally	10	NA	1	0	1.71	0	0
acclaim	1	NA	1	0	2.04	0	0
accommodate	4	NA	1	0	1.86	0	0
accommodation	8	NA	1	0	2.96	0	0
accompany	8	NA	1	0	3.07	0	0
accomplish	9	NA	1	0	2.33	0	0
accomplishment	1	NA	1	0	2.50	0	0
accord	276	NA	1	0	1.57	0	0
accordance	6	NA	1	0	1.54	0	0
accordingly	3	NA	1	0	1.58	0	0
account	91	NA	1	0	3.08	0	0
accountant	1	NA	1	0	4.41	0	0
accounting	7	NA	1	0	3.27	0	0
accredit	3	NA	1	0	2.15	0	0
accreditation	3	NA	1	0	2.68	0	0
accumulate	17	NA	1	0	3.00	0	0
accumulation	7	NA	1	0	2.97	0	0
accuracy	8	NA	1	0	1.85	0	0
accurate	18	NA	1	0	1.90	0	0
accurately	7	NA	1	0	2.39	0	0
accusation	1	NA	1	0	2.38	0	0
accusative	1	NA	1	0	1.60	0	0
accuse	2	NA	1	0	2.25	0	0
accused	19	0	1	0	2.93	0	0
accustom	3	NA	1	0	1.48	0	0
acea	13	NA	1	1		0	0
aceas	1	NA	1	0		0	0
acellular	3	NA	1	0		0	0
acetaldehyde	2	NA	1	0		0	0
acetaminophen	1	NA	1	0	3.80	0	0
acetyl	12	NA	1	0		0	0
acetylcholine	2	NA	1	0		0	0
ache	1	NA	1	0	3.43	0	0
achievable	1	NA	1	0	2.07	0	0
achieve	55	NA	1	0	2.29	0	0
achievement	21	NA	1	0	2.37	0	2
achilles	2	NA	1	1		0	0
acid	269	1	1	0	4.25	4	2
acidic	27	NA	1	0	3.54	0	0
acidity	6	NA	1	0	3.40	0	0
acidproduces	1	NA	1	0		0	0
acknowledge	14	NA	1	0	2.03	0	0
acne	1	NA	1	0	4.89	0	0
acoelomate	4	NA	1	0		0	0
acoelomates	4	NA	1	0		1	0
acorn	2	NA	1	0	4.96	0	0
acquaintance	5	NA	1	0	3.41	0	0
acquiesce	1	NA	1	0	2.21	0	0
acquire	43	NA	1	0	2.93	0	0
acquisition	5	NA	1	0	2.60	0	0
acre	3	NA	1	0	4.18	0	0
acres	8	NA	1	0		0	0
acromegaly	1	NA	1	0		0	0
acronym	2	NA	1	0	2.64	0	0
acrosomal	3	NA	1	0		0	0
acrosome	3	NA	1	0		1	0
across	250	0	0	0	3.07	0	0
act	83	0	1	0	2.46	1	1
actin	13	NA	1	0		0	1
acting	13	NA	1	0	2.54	0	0
actinopterygii	2	NA	1	0		0	0
action	126	NA	1	0	2.86	0	2
activate	36	NA	1	0	2.97	0	0
activating	2	NA	1	0		0	0
activation	17	1	1	0	2.41	2	0
activator	4	NA	1	0	3.14	0	0
active	89	NA	1	0	3.32	0	0
actively	15	NA	1	0	2.41	0	0
activist	16	NA	1	0	3.34	0	4
activity	139	NA	1	0	2.72	0	1
actor	41	NA	1	0	4.57	0	0
acts	43	NA	1	0	3.29	0	0
actual	29	NA	1	0	2.22	0	0
actually	66	0	1	0	1.37	0	0
actuarial	1	NA	1	0	2.33	0	0
acuity	1	NA	1	0		0	0
acupuncture	4	NA	1	0	3.83	0	0
acute	2	NA	1	0	1.92	0	0
acyclovir	1	NA	1	0		0	0
ad	19	1	1	0	4.46	1	0
adage	1	NA	1	0	1.86	0	0
adam	3	NA	1	1		0	0
adapt	72	0	1	0	2.41	0	0
adaptability	3	NA	1	0	1.38	0	0
adaptable	2	NA	1	0	1.85	0	0
adaptation	85	1	1	0	2.04	1	2
adaption	1	NA	1	0	2.40	0	0
adaptive	48	NA	1	0	1.97	0	0
adaptor	1	NA	1	0	4.04	0	0
add	283	1	1	0	3.00	2	0
addict	19	NA	1	0	3.14	0	1
addiction	8	NA	1	0	2.85	0	0
addictive	2	NA	1	0	2.22	0	0
addis	3	NA	1	1		0	0
addison	1	NA	1	0		0	0
addition	101	NA	1	0	2.89	0	3
additional	35	NA	1	0	2.43	0	0
additionally	23	NA	1	0	2.20	0	0
address	57	NA	1	0	3.89	0	0
adelaide	3	NA	1	1		0	0
adele	1	NA	1	0		0	0
aden	4	NA	1	1		0	0
adenine	14	NA	1	0		0	0
adenoid	2	NA	1	0		0	0
adenosine	9	0	1	0		0	0
adenovirus	4	2	1	0		1	0
adept	2	NA	1	0	2.23	0	0
adequate	6	NA	1	0	1.97	0	0
adequately	4	NA	1	0	1.72	0	0
adesso	3	NA	1	1		0	0
adhere	7	NA	1	0	2.62	0	0
adherence	2	NA	1	0	1.50	0	0
adhesion	3	NA	1	0	3.32	1	0
adhesive	1	NA	1	0	4.35	0	0
adib	3	NA	1	1		0	0
adidas	3	NA	1	1		0	0
adipocere	1	NA	1	0		0	0
adipocytes	1	1	1	0		1	0
